Clue,Meaning,,,,
Badly,anagram,,,,
soft,p,,,,
very soft,pp,,,,
carrying,containing,,,,
given,added to a word,,,,
network,ry,,,,
English,E,,,,
leading,arch,,,,
alter,anagram,,,,
first of,first letter of the word,,,,
Henry,H,,,,
finished,over,,,,
moving,anagram,,,,
Team,side,,,,
playing,anagram,,,,
friend,"mate, pal",,,,
swapping,change words around,,,,
former,ex,,,,
In front,"Fore, first letters",,,,
Everyone,all,,,,
upset ,anagram,,,,
Party,Do,,,,
lots,many,,,,
acquring,containing,,,,
appearing in,inside,,,,
after,come after other words or letter,,,,
odd part,every odd letter,,,,
learner,l,,,,
leading,first letter of adjacent word,,,,
provoked,anagram,,,,
second,s,,,,
covering,first and last letters,,,,
Belgium,B,,,,
intervals,Every other letter in the word,,,,
mature,age or aged,,,,
house,H,,,,
at margins,outer letters of a word,,,,
by the sound of it,also sounds like,,,,
Citroen,C,,,,
Barrister,Silk,,,,
southern,s,,,,
hard,h,,,,
east,e,,,,
cook,anagram,,,,
Belguim,B,,,,
Church,CE - Church of England,,,,
worker,ant,,,,
new,N,,,,
time,t,,,,
fine,f,,,,
end of,last letter of word,,,,
bend,u,,,,
from south,Word from last letter,,,,
Republican,R,,,,
extremes,outer letters,,,,
Frenchman,M - Monsieur,,,,
North,N,,,,
South,S,,,,
West,W,,,,
First person,me,,,,
left,port,,,,
weight,w,,,,
son,s,,,,
Revered figure,St - Saint,,,,
artist,RA - Royal Artist,,,,
relative,rel,,,,
Frenchman,ms,,,,
opposed,anti,,,,
